INDEX,TARGET_FLAG,TARGET_AMT,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,SEX,EDUCATION,JOB,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,URBANICITY
1,0,0,0,60,0,11,"$67,349",No,$0,z_No,M,PhD,Professional,14,Private,"$14,230",11,Minivan,yes,"$4,461",2,No,3,18,Highly Urban/ Urban
2,0,0,0,43,0,11,"$91,449",No,"$257,252",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940",1,Minivan,yes,$0,0,No,0,1,Highly Urban/ Urban
4,0,0,0,35,1,10,"$16,039",No,"$124,191",Yes,z_F,z_High School,Clerical,5,Private,"$4,010",4,z_SUV,no,"$38,690",2,No,3,10,Highly Urban/ Urban
5,0,0,0,51,0,14,,No,"$306,251",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440",7,Minivan,yes,$0,0,No,0,6,Highly Urban/ Urban
6,0,0,0,50,0,,"$114,986",No,"$243,925",Yes,z_F,PhD,Doctor,36,Private,"$18,000",1,z_SUV,no,"$19,217",2,Yes,3,17,Highly Urban/ Urban
7,1,2946,0,34,1,12,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0,No,0,7,Highly Urban/ Urban
8,0,0,0,54,0,,"$18,755",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
11,1,4021,1,37,2,,"$107,961",No,"$333,680",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970",1,Van,yes,"$2,374",1,Yes,10,7,Highly Urban/ Urban
12,1,2501,0,34,0,10,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
13,0,0,0,50,0,7,"$106,952",No,$0,z_No,M,Bachelors,Professional,48,Commercial,"$18,510",7,Van,no,$0,0,No,1,17,z_Highly Rural/ Rural
14,1,6077,0,53,0,14,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0,No,0,11,Highly Urban/ Urban
15,0,0,0,43,0,5,"$52,642",No,"$209,970",Yes,z_F,Masters,Professional,36,Private,"$22,420",7,Minivan,no,$0,0,No,0,1,z_Highly Rural/ Rural
16,0,0,0,55,0,11,"$59,162",No,"$180,232",Yes,M,Bachelors,Manager,25,Commercial,"$17,600",7,Van,yes,"$5,028",2,Yes,3,9,Highly Urban/ Urban
17,1,1267,0,53,0,11,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0,No,3,10,Highly Urban/ Urban
19,1,2920.16732,0,45,0,0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0,No,3,5,Highly Urban/ Urban
20,0,0,0,39,3,12,"$51,884",Yes,"$180,951",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590",6,z_SUV,no,$0,0,No,0,13,z_Highly Rural/ Rural
22,0,0,0,42,0,11,"$59,945",No,"$192,207",Yes,M,Masters,Lawyer,42,Private,"$14,190",6,Minivan,no,$0,0,No,0,16,Highly Urban/ Urban
23,0,0,0,34,3,13,"$34,019",No,"$91,875",Yes,z_F,Masters,Lawyer,27,Private,"$8,300",7,z_SUV,no,$0,0,No,0,20,Highly Urban/ Urban
24,0,0,0,31,2,12,"$18,903",No,"$93,797",Yes,z_F,<High School,Clerical,48,Private,"$17,330",4,Minivan,no,$0,0,No,0,7,Highly Urban/ Urban
25,1,6857,0,28,1,13,"$44,077",No,"$170,598",Yes,z_F,z_High School,z_Blue Collar,29,Commercial,"$8,710",6,z_SUV,no,"$8,935",2,No,0,1,Highly Urban/ Urban
26,1,3627,0,43,0,13,"$37,214",No,,Yes,M,<High School,z_Blue Collar,52,Commercial,"$26,560",1,Panel Truck,yes,$0,0,No,3,1,Highly Urban/ Urban
27,0,0,0,48,0,14,"$96,274",No,"$282,904",Yes,z_F,Masters,Lawyer,36,Private,"$11,130",6,z_SUV,no,"$8,250",1,No,5,14,Highly Urban/ Urban
28,0,0,0,47,0,11,"$46,281",No,$0,z_No,z_F,<High School,z_Blue Collar,29,Private,"$19,700",10,Minivan,no,$0,0,No,1,5,Highly Urban/ Urban
29,0,0,2,44,2,0,$0,No,"$82,344",Yes,z_F,z_High School,Home Maker,8,Private,"$5,900",6,z_SUV,no,"$3,338",3,No,0,11,Highly Urban/ Urban
32,0,0,0,33,1,13,"$79,606",No,"$225,962",Yes,z_F,Bachelors,Professional,27,Private,"$16,830",9,z_SUV,no,$0,0,No,2,15,z_Highly Rural/ Rural
33,1,4486,0,32,1,9,"$31,275",No,"$118,160",Yes,z_F,z_High School,Clerical,26,Private,"$10,030",1,z_SUV,no,$0,0,No,0,1,Highly Urban/ Urban
34,0,0,1,44,2,17,"$45,488",No,"$219,378",Yes,M,Bachelors,Manager,16,Private,"$22,090",17,Minivan,no,$0,0,No,0,12,Highly Urban/ Urban
35,0,0,0,35,0,8,"$72,193",No,$0,z_No,z_F,Bachelors,Clerical,26,Private,"$12,220",6,z_SUV,no,$0,0,No,3,12,Highly Urban/ Urban
