INDEX,TARGET_WINS,TEAM_BATTING_H,TEAM_BATTING_2B,TEAM_BATTING_3B,TEAM_BATTING_HR,TEAM_BATTING_BB,TEAM_BATTING_SO,TEAM_BASERUN_SB,TEAM_BASERUN_CS,TEAM_BATTING_HBP,TEAM_PITCHING_H,TEAM_PITCHING_HR,TEAM_PITCHING_BB,TEAM_PITCHING_SO,TEAM_FIELDING_E,TEAM_FIELDING_DP
1,39,1445,194,39,13,143,842,,,,9364,84,927,5456,1011,
2,70,1339,219,22,190,685,1075,37,28,,1347,191,689,1082,193,155
3,86,1377,232,35,137,602,917,46,27,,1377,137,602,917,175,153
4,70,1387,209,38,96,451,922,43,30,,1396,97,454,928,164,156
5,82,1297,186,27,102,472,920,49,39,,1297,102,472,920,138,168
6,75,1279,200,36,92,443,973,107,59,,1279,92,443,973,123,149
7,80,1244,179,54,122,525,1062,80,54,,1244,122,525,1062,136,186
8,85,1273,171,37,115,456,1027,40,36,,1281,116,459,1033,112,136
11,86,1391,197,40,114,447,922,69,27,,1391,114,447,922,127,169
12,76,1271,213,18,96,441,827,72,34,,1271,96,441,827,131,159
13,78,1305,179,27,82,374,888,60,39,,1364,86,391,928,119,141
15,68,1372,203,31,95,509,801,119,79,,1372,95,509,801,147,150
16,72,1332,196,41,55,597,816,221,109,,1340,55,601,821,185,165
17,76,1265,210,23,63,534,812,126,80,,1265,63,534,812,150,139
18,74,1380,233,40,131,542,880,159,89,,1380,131,542,880,147,137
19,87,1417,226,28,108,539,682,86,69,,1417,108,539,682,136,136
20,88,1563,242,43,164,589,843,100,53,,1563,164,589,843,135,172
21,66,1460,239,32,107,546,900,92,64,,1478,108,553,911,136,146
22,75,1390,197,24,143,579,841,65,49,,2047,211,853,1239,149,177
23,93,1518,268,26,186,613,760,55,53,,1518,186,613,760,106,171
24,70,1467,241,22,154,509,835,41,39,,1467,154,509,835,154,190
25,81,1363,211,30,150,556,928,80,51,,1363,150,556,928,128,170
26,90,1364,215,31,153,648,902,106,51,,1364,153,648,902,112,202
27,92,1387,236,36,167,671,860,109,42,,1387,167,671,860,107,156
28,75,1406,257,26,172,590,926,125,44,,1406,172,590,926,117,162
29,75,1458,258,31,124,469,819,86,52,,1458,124,469,819,135,175
30,91,1422,208,37,145,429,1011,89,40,,1422,145,429,1011,96,173
31,80,1448,237,27,147,566,1000,69,43,,1448,147,566,1000,140,186
32,81,1396,245,29,115,448,928,94,56,,1396,115,448,928,102,156
33,72,1306,202,20,88,416,882,160,101,,1306,88,416,882,134,172
34,71,1399,259,24,114,564,930,169,100,,1399,114,564,930,120,161
35,66,1468,251,23,169,566,1007,92,76,,2068,238,797,1419,107,155
36,87,1553,282,28,208,630,993,65,44,,1735,232,704,1109,106,134
37,70,1581,258,24,193,530,980,53,39,,1591,194,533,986,129,157
38,84,1531,279,25,161,617,953,126,72,,1531,161,617,953,126,140
39,85,1530,314,27,147,510,1028,93,45,,1530,147,510,1028,106,146
40,70,1404,248,22,158,511,1022,71,45,,1404,158,511,1022,106,156
41,82,1574,309,34,236,608,1024,93,52,47,1574,236,608,1024,134,184
42,75,1447,275,26,158,494,1001,116,52,77,1447,158,494,1001,103,142
43,99,1603,333,32,152,462,805,117,51,74,1603,152,462,805,87,151
44,77,1473,276,33,150,476,838,129,61,56,1473,150,476,838,105,138
45,92,1603,272,37,162,450,942,143,46,73,1603,162,450,942,90,126
46,95,1520,278,30,147,447,848,161,57,29,1520,147,447,848,87,139
48,65,1353,235,46,159,489,1239,73,38,,1353,159,489,1239,100,125
49,100,1566,289,46,216,588,1045,137,39,,1566,216,588,1045,104,129
50,85,1466,282,44,179,535,975,97,44,59,1466,179,535,975,107,138
51,92,1494,284,35,208,587,1052,71,38,57,1494,208,587,1052,84,148
52,98,1471,283,41,165,643,1016,92,46,50,1471,165,643,1016,89,116
53,84,1467,303,47,152,531,1006,76,38,45,1467,152,531,1006,107,132
54,51,1401,295,38,135,441,1022,53,32,35,1401,135,441,1022,139,144
55,77,1419,291,27,191,606,1094,67,26,55,1419,191,606,1094,94,159
56,76,1506,331,38,160,504,965,76,30,67,1506,160,504,965,104,172
57,38,1774,217,96,19,74,99,,,,4871,52,203,272,1252,88
58,90,1673,222,56,21,134,227,,,,3872,49,310,525,977,97
59,113,1890,246,100,11,176,327,,,,5103,30,475,883,780,97
61,104,1703,266,98,39,174,428,,,,3284,75,336,825,615,112
62,77,1502,258,79,39,203,426,,,,2897,75,392,822,710,104
64,87,1587,220,96,29,258,471,,,,3061,56,498,908,569,71
65,104,1670,345,142,56,203,699,,,,2761,93,336,1155,631,
66,107,1551,261,88,53,302,963,,,,2264,77,441,1405,546,
67,67,1323,208,77,32,275,755,,,,1914,46,398,1092,644,
68,78,1502,209,82,33,346,744,216,,,2080,46,479,1030,644,
69,82,1680,248,126,71,455,525,499,,,2249,95,609,703,699,
70,85,1430,202,108,68,341,633,354,,,1729,82,412,765,597,
71,105,1583,248,68,53,596,570,419,,,2003,67,754,721,523,
72,93,1486,213,76,38,646,627,347,,,1810,46,787,764,436,
73,102,1484,212,94,63,625,632,339,,,1742,74,734,742,420,
75,108,1705,224,63,82,705,367,305,,,2141,103,885,461,443,
76,102,2035,334,115,126,657,320,296,,,2498,155,806,393,509,
77,88,1693,244,70,67,618,292,246,,,2094,83,764,361,450,
78,92,1751,216,92,45,512,339,298,,,2165,56,633,419,455,
79,114,1932,282,102,55,519,322,286,,,2371,68,637,395,334,
80,111,1665,207,60,58,440,329,187,,,1810,63,478,358,325,
81,101,1617,190,96,42,459,287,197,,,1723,45,489,306,314,
82,77,1647,191,80,56,464,326,214,,,1933,66,545,383,318,101
84,86,1393,168,46,17,471,569,223,,,1647,20,557,673,279,106
85,68,1344,207,55,29,467,,187,,,1578,34,548,,412,104
86,58,1289,162,53,25,335,,151,,,1365,26,355,,358,96
87,54,1280,156,55,18,318,,139,,,1346,19,335,,327,94
88,53,1196,146,46,17,382,,100,,,1283,18,410,,362,109
89,63,1338,155,67,24,452,,129,,,1465,26,495,,273,140
90,66,1292,144,45,18,436,,141,,,1359,19,459,,265,95
91,48,1187,131,46,16,424,,143,,,1257,17,449,,360,107
92,56,1334,183,52,33,380,572,161,,,1412,35,402,606,323,145
93,47,1520,267,58,40,594,619,181,,,1631,43,637,664,372,118
94,55,1551,240,72,37,481,731,145,,,1642,39,509,774,312,137
95,74,1414,205,64,34,524,687,190,,,1517,36,562,737,293,88
96,100,1384,226,64,37,532,653,147,,,1465,39,563,691,251,151
97,88,1299,246,61,18,585,661,129,104,,1384,19,623,704,227,123
99,76,1355,179,79,23,452,622,164,,,1435,24,479,659,237,129
100,69,1325,140,77,17,457,572,108,,,1731,22,597,747,240,116
101,66,1400,165,72,28,414,561,169,,,1632,33,483,654,238,129
102,66,1447,179,92,25,410,520,94,104,,1542,27,437,554,255,133
103,84,1653,221,106,65,399,498,100,106,,1750,69,422,527,211,129
104,56,1435,172,77,34,410,478,71,69,,1519,36,434,506,228,128
105,57,1531,224,61,34,451,425,60,84,,1611,36,474,447,242,165
106,56,1435,205,55,26,375,478,78,72,,1519,28,397,506,178,163
107,74,1659,275,74,43,429,402,82,76,,1757,46,454,426,234,154
108,70,1539,223,66,17,454,371,86,,,1640,18,484,395,222,160
109,63,1576,227,64,39,364,382,105,,,1658,41,383,402,243,137
110,53,1524,255,43,55,473,399,64,,,1614,58,501,422,204,149
111,59,1558,265,81,35,429,454,68,,,1639,37,451,478,215,154
112,74,1581,259,82,69,349,418,73,,,1663,73,367,440,187,176
113,67,1438,232,62,36,387,452,48,,,1513,38,407,475,176,148
114,81,1536,276,56,66,365,522,38,,,1616,69,384,549,160,153
115,87,1389,228,59,57,343,450,26,,,1461,60,361,473,137,156
116,84,1566,250,47,89,402,472,32,,,1680,95,431,506,181,129
117,40,1478,247,35,79,374,462,21,,,1565,84,396,489,209,107
118,75,1525,218,47,70,455,612,24,,,1604,74,479,644,199,184
119,84,1348,213,44,67,517,754,48,,,1437,71,551,804,167,136
121,68,1497,213,42,60,393,530,44,,,1606,64,422,569,194,191
122,69,1456,233,53,63,428,619,51,,,1552,67,456,660,195,180
124,65,1331,230,21,74,519,555,54,,,1457,81,568,608,152,151
125,72,1284,214,38,41,497,645,59,,,1360,43,526,683,188,147
126,68,1366,263,41,83,480,535,39,,,1437,87,505,563,191,168
127,71,1549,244,27,108,554,544,87,,,1651,115,590,580,206,171
128,86,1458,252,51,47,591,496,64,,,1544,50,626,525,179,137
129,90,1519,279,44,89,587,526,61,,,1598,94,617,553,161,130
130,96,1544,288,52,101,710,568,46,,,1635,107,752,601,151,140
131,79,1447,259,35,108,720,690,29,,,1522,114,757,726,157,151
132,87,1484,259,38,156,647,648,75,,,1561,164,681,682,191,154
133,80,1457,246,39,137,594,649,84,36,,1533,144,625,683,153,165
134,68,1285,198,33,116,511,753,61,36,,1361,123,541,797,162,151
136,94,1467,228,43,146,495,651,57,33,,1543,154,521,685,122,180
137,89,1449,230,58,191,530,773,44,28,,1524,201,558,813,160,163
139,100,1545,232,65,209,485,767,37,17,,1625,220,510,807,126,182
141,89,1481,224,37,184,507,794,43,15,,1538,191,527,825,128,143
142,93,1465,208,50,179,487,834,73,39,,1541,188,512,877,146,144
143,87,1436,209,36,198,562,926,74,45,,1511,208,591,974,117,160
144,86,1376,204,38,181,581,975,57,27,,1376,181,581,975,123,154
145,84,1345,204,39,139,525,954,75,52,,1345,139,525,954,129,161
146,88,1522,274,32,159,486,825,53,41,,1522,159,486,825,143,139
147,86,1419,243,28,196,408,976,64,37,,1419,196,408,976,140,145
148,85,1476,220,32,207,512,913,59,47,,1476,207,512,913,154,139
149,77,1307,191,29,158,512,947,55,45,,1307,158,512,947,138,148
150,81,1399,179,31,80,414,782,83,44,,1399,80,414,782,125,139
152,76,1495,215,24,160,522,736,58,34,,1495,160,522,736,140,118
