,Unnamed: 0,DSI_Title,Text,Cluster
10,10,Letter-Judiciary.docx,"Obstruction of Justice.



The report's second part addresses a number of actions by the  President — most of which have been the subject of public reporting — that the Special Counsel investigated as potentially raising obstruction-of-justice concerns. After making a ""thorough factual investigation"" into these matters, the Special Counsel considered whether to evaluate the conduct under Department standards governing prosecution and declination decisions but ultimately determined not to make a traditional prosecutorial judgment. The Special Counsel therefore did not draw a conclusion — one way or the other — as to whether the examined conduct constituted obstruction. Instead, for each of the relevant actions investigated, the report sets out evidence on both sides of the question and leaves unresolved what the Special Counsel views as ""difficult issues"" of law and fact concerning whether the President's actions and intent could be viewed as obstruction. The Special Counsel states that ""while this report does not conclude that the President committed a crime, it also does not exonerate him.""



The Special Counsel's decision to describe the facts of his obstruction investigation without reaching any legal conclusions leaves it to the Attorney General to determine whether the conduct described in the report constitutes a crime. Over the course of the investigation, the Special Counsel's office engaged in discussions with certain Department officials regarding many of the legal and factual matters at issue in the Special Counsel's obstruction investigation. After reviewing the Special Counsel's final report on these issues; consulting with Department officials, including the Office of Legal Counsel; and applying the principles of federal prosecution that guide our charging decisions, Deputy Attorney General Rod Rosenstein and I have concluded that the evidence developed during the Special Counsel's investigation is not sufficient to establish that the President committed an obstruction-of-justice offense. Our determination was made without regard to, and is not based on, the constitutional considerations that surround the indictment and criminal prosecution of a sitting president.



In making this determination, we noted that the Special Counsel recognized that ""the evidence does not establish that the President was involved in an underlying crime related to Russian election interference,"" and that, while not determinative, the absence of such evidence bears upon the President's intent with respect to obstruction. Generally speaking, to obtain and sustain an obstruction conviction, the government would need to prove beyond a reasonable doubt that a person, acting with corrupt intent, engaged in obstructive conduct with a sufficient nexus to a pending or contemplated proceeding. In cataloguing the President's actions, many of which took place in public view, the report identifies no actions that, in our judgment, constitute obstructive conduct, had a nexus to a pending or contemplated proceeding, and were done with corrupt intent, each of which, under the Department's principles of federal prosecution guiding charging decisions, would need to be proven beyond a reasonable doubt to establish an obstruction-of- justice offense.",0
36,36,The Real Problem with Immigration.docx,"The Real Problem

Illegal immigration into the United States is massive in scale. More than 10 million undocumented aliens currently reside in the U.S., and that population is growing by 700,000 per year. On one hand, the presence of so many aliens is a powerful testament to the attractiveness of America. On the other hand, it is a sign of how dangerously open our borders are.


Typical illegal aliens come to America primarily for better jobs and in the process add value to the U.S. economy. However, they also take away value by weakening the legal and national security environment. When three out of every 100 people in America are undocumented (or, rather, documented with forged and faked papers), there is a profound security problem. Even though they pose no direct security threat, the presence of millions of undocumented migrants distorts the law, distracts resources, and effectively creates a cover for terrorists and criminals.

In other words, the real problem presented by illegal immigration is security, not the supposed threat to the economy. Indeed, efforts to curtail the economic influx of migrants actually worsen the security dilemma by driving many migrant workers underground, thereby encouraging the culture of illegality. A non-citizen guest worker program is an essential component of securing the border, but only if it is the right program.


It is important to craft a guest worker program intelligently. While there are numerous issues involved in such a program, many of which are beyond the scope of this paper, the evidence indicates that worker migration is a net plus economically. With this in mind, there are 14 principles- with an eye toward the economic incentives involved-that should be included as part of a guest worker program.


An honest assessment acknowledges that illegal immigrants bring real benefits to the supply side of the American economy, which is why the business community is opposed to a simple crackdown. There are economic costs as well, given America's generous social insurance institutions. The cost of securing the border would logically exist regardless of the number of immigrants.


The argument that immigrants harm the American economy should be dismissed out of hand. The population today includes a far higher percentage (12 percent) of foreign-born Americans than in recent decades, yet the economy is strong, with higher total gross domestic product (GDP), higher GDP per person, higher productivity per worker, and more Americans working than ever before. Immigration may not have caused this economic boom, but it is folly to blame immigrants for hurting the economy at a time when the economy is simply not hurting. As Stephen Moore pointed out in a recent article in The Wall Street Journal:

The increase in the immigration flow has corresponded with steady and substantial reductions in unemployment from 7.3 percent to 5.1 percent over the past two decades. And the unemployment rates have fallen by 6 percentage points for blacks and 3.5 percentage points for Latinos. Whether low-skilled or high-skilled, immigrants boost national output, enhance specialization, and provide a net economic benefit.",0
42,42,Trump Approval Rating Down Slips With Base.docx,"While the longest government shutdown in U.S. history continues, President Trump's approval rating is down, and there are cracks showing with his base.

A new NPR/PBS NewsHour/Marist poll finds Trump's approval rating down and his disapproval rating up from a month ago. He currently stands at 39 percent approve, 53 percent disapprove — a 7-point net change from December when his rating was 42 percent approve, 49 percent disapprove.

And the movement has come from within key portions of his base. He is:

Down significantly among suburban men, a net-positive approval rating of 51-to-39 percent to a net-negative of 42 percent approve, 48 percent disapprove. That's a net change of down 18 percentage points.

Down a net of 13 points among white evangelicals, from 73-to-17 percent approve to 66-to-23 percent approve.

Down a net of 10 points among Republicans, from 90-to-7 percent approve to 83-to-10 percent.

Down marginally among white men without a college degree, from 56-to-34 percent approve to 50-to-35 percent approve, a net change downward of 7 points.

""For the first time, we saw a fairly consistent pattern of having his base showing evidence of a cracking,"" said Lee Miringoff, director of the Marist Institute for Public Opinion, which conducted the poll. ""Don't know if that's temporary — tied to the government shutdown — or a broader problem the president is having.""

The percentage of people now saying they strongly disapprove of the job the president is doing is up to 45 percent, the highest for Trump since December 2017.

The president also faces some significant headwinds for re-election in 2020. Just 30 percent of registered voters said they will definitely vote for Trump in 2020, while 57 percent said they will definitely vote against him.

Just 76 percent of Trump supporters, 69 percent of Republicans and 58 percent of white evangelicals say they will definitely vote for him. Many, if not most, of them will likely vote for the president, but their softness in supporting him for re-election is a sign of vulnerability.

For context, in 2010, when asked about then-President Barack Obama, just 36 percent said they would definitely vote for him, while 48 percent said they would not. Obama went on to win with 51 percent of the vote.

But for Trump to have more than half the country already saying it definitely won't vote for him indicates he is facing a difficult re-election.

""The president has had his base and not much else,"" Miringoff said, ""and when you look ahead to the election ... he enters with a significant disadvantage. His re-election prospects would definitely be in jeopardy at this point.""

Trump has a lot of work to do to be able to reassemble the coalition that voted for him narrowly to win in the Electoral College in 2016. He lost the popular vote by almost 3 million votes and won just 46 percent of the vote. He won by about 70,000 votes combined between Pennsylvania, Wisconsin and Michigan, all states that have trended away from the president during his first two years in office.",0
7,7,Trump-Administration-Rolls.docx,"The Trump administration is scaling back some healthful school lunch standards championed by former first lady Michelle Obama, as it seeks to give schools more flexibility with meals.

Newly confirmed U.S. Secretary of Agriculture Sonny Perdue announced Monday the changes for federally subsidized school meal programs during a visit to an elementary school in Leesburg, Va.

Schools, which receive federal funding for meal programs, won't have to meet certain guidelines for whole grain, sodium and milk.

The U.S. Department of Agriculture said the decision comes after years of feedback from schools and food-service experts, who have faced challenges meeting meal regulations; and from students, some of whom have complained that the meals aren't appetizing.

The department said the change ""begins the process of restoring local control"" over those food areas to give schools and states options in ensuring food choices are both healthy and appealing to students.

""If kids aren't eating the food, and it's ending up in the trash, they aren't getting any nutrition--thus undermining the intent of the program,"" Mr. Perdue said in a statement.

But American Heart Association Chief Executive Nancy Brown has concerns.

""USDA needs to remember that schools around the country are making great progress on healthy school meals, with more than 99% of schools already in compliance,"" Ms. Brown said in a statement. ""Rather than altering the current path forward, we hope the agency focuses more on providing technical assistance that can help schools get across the finish line, if they haven't done so already.""

The changes will allow states to grant exemptions in the 2017-2018 school year to schools experiencing hardship in finding a full range of products that meet whole-grain requirements; allow schools to meet past targets for sodium instead of new higher limits, to give more time to prepare appropriate foods; and allow schools to serve flavored 1% fat milk, instead of just fat-free.

Meal guidelines implemented in 2012, called historic at the time by the USDA, mandated that schools offer fruits and vegetables daily, increase offerings of whole grain-rich foods, offer only fat-free or low-fat milk varieties, limit calories based on the age of children to ensure proper portion size and give more focus on reducing saturated fat, trans fat and sodium.

Therefore, foods such as breaded beef patties, bean and cheese burritos and pizza sticks were out. And fares such as chef salad, whole wheat spaghetti and oven-baked fish nuggets were in.

Some students had complained early on that lunch food under the new rules was unappetizing and not filling. The USDA provided some flexibility under a temporary change, which became permanent in 2014, permitting larger portions of lean proteins and whole grains with meals.

The rules have extended beyond the lunch line, dictating what kinds of foods and beverages can be served in vending machines on school campuses. Foods sold outside of the lunch program but during the school day, such as for fundraisers, also must meet healthy standards.",0
17,17,Republican Senators Discuss Including DACA in Wall Negotiationsgovernment.docx,"With Donald Trump working to keep his party unified in the government shutdown battle, some Senate Republicans have begun discussing expanding negotiations over the wall to include additional immigration issues, such as relief for DACA, the Deferred Action for Childhood Arrivals program.

The conversation, mostly involving Republicans, picked up steam on Wednesday as the stalemate over the government shutdown and the border wall showed no signs of easing. While the discussions might be aimed at solving a number of long-standing immigration reform issues, they also risk stirring a backlash from conservatives who believe DACA relief to be a form of amnesty, and on the left from those who don't want it used as a negotiating tool.

""There is some discussions about whether a bigger deal could be negotiated that would include money for border security,"" Sen. John Cornyn, R-Texas, said after Trump met with Senate Republicans over lunch in the Capitol on Wednesday.

Sen. Lindsey Graham, R-S.C., has formed a working group of senators to discuss a broader immigration deal. The starting point would be the Bridge Act, which provides legal work permits for people eligible for DACA relief in exchange for $25 billion for the wall.

Graham hosted the first meeting in his office Wednesday afternoon. Attendees included those who have expressed unease over the shutdown, including Sens. Lisa Murkowski of Alaska, Thom Tillis of North Carolina, Susan Collins of Maine, Rob Portman of Ohio and Lamar Alexander of Tennessee. Trump’s son-in-law, Jared Kushner, who has stepped into a leading White House role on the shut down, is also in attendance.

No Democrats joined the meeting but Sen. Joe Manchin, D-W.Va., met with Graham privately. Manchin said Graham presented some ideas to move the negotiations forward.

One Republican senator said that after a conversation with the president at the White House, the president appeared open to including DACA in wall negotiations to reopen the government. The senator, who didn't want to be identified because they are relaying private conversations, said they spoke to Trump's chief of staff Mick Mulvaney about including the issue of Temporary Protected Status. The Trump administration has ended TPS, or legal status, for at least 200,000 Central Americans and Haitians.

But Democrats have indicated that they don't want to bring DACA into discussions, in part, because they don't trust the president in negotiations.

During a previous negotiation on immigration, Senate Minority Leader Chuck Schumer said negotiating with Trump is like ""negotiating with Jell-O"" because after what appears to be a tentative agreement the president has backtracked. ""If he has trouble with this, imagine how much trouble he'll have with a bigger solution,"" Schumer said Wednesday about the prospect of broadening out the negotiations.

And the right is likely to immediately oppose a deal that includes DACA. Last week, conservative commentator Ann Coulter tweeted that ""NOTHING could be worse than another amnesty.""",0
13,13,RMM_Doc1_Trade-Truce-Impact.docx,"A China-U.S. Trade Truce Could Enshrine a Global Economic Shift

Author: Keith Bradsher

Publication Date: June 29, 2019

OSAKA, Japan — The spin from President Trump and China’s propaganda machines on Saturday portrayed a truce in a trade war that has shaken economies and markets around the world. Tariffs won’t rise further, at least not yet. And the United States will loosen its potentially devastating punishments against Huawei, China’s most successful multinational company.

Yet the outlines of the tentative peace accord President Trump reached on Saturday with his Chinese counterpart, Xi Jinping, could further cement a broad reshuffling of the global economic order that undermines China’s decades-long role as the world’s factory floor.

The details of the discussions between Mr. Trump and Mr. Xi on the sidelines of the Group of 20 summit in Osaka, Japan, still are not clear. The two sides have agreed to resume talks, but the ultimate results are not guaranteed. Their differences could still derail a fragile peace in an economic conflict that has thrown a shadowover the outlook for global growth.

Even a fragile truce could have lingering implications. The United States would keep in place broad tariffs on Chinese goods for months or perhaps years to come. Global companies would almost certainly respond by continuing to shift at least the final stages of their supply chains out of China.

 “As long as the threat is out there, there are risks in depending on these long supply chains,” said Jacques deLisle, director of the Center for the Study of Contemporary China at the University of Pennsylvania. “Businesses don’t like uncertainty, and this prolongs the uncertainty.”

In that regard, the results of the Osaka talks are similar to those when Mr. Trump and Mr. Xi met in Buenos Aires on Dec. 1, resulting in a truce that left in place higher American tariffs on Chinese-made goods. That truce lasted until May, when the Trump administration accused China of backtracking on a partially completed agreement that would have replaced tariffs with broad structural changes in the Chinese economy.

Leaving tariffs in place for the indefinite future has long been seen as the second-best solution by both sides. The Americans want fundamental economic policy changes in China, where the government heavily subsidizes local rivals to American companies.

Beijing officials want the tariffs dropped entirely. But they refuse to overhaul an economic model based on industrial subsidies and state-owned enterprises that they see as successful in lifting hundreds of millions of people out of poverty over the past four decades.

For China, the Osaka talks represent a short-term success. Mr. Trump postponed new tariffs on roughly $300 billion a year in Chinese goods that he had threatened to impose at some unspecified date if Beijing did not come back to the negotiating table. He also said he would weaken limits his administration had imposed on the American technology that Huawei could use, without offering specifics. Those limits cut off the Chinese telecom equipment giant from the semiconductors and other technologies it needs, a shopping list that the company has said totals $11 billion annually.

Perhaps most important, China has persuaded the United States to return to the bargaining table without agreeing to any of the legislative changes that the Trump administration saw as essential, but which Beijing regarded as an affront.",0
54,54,Presidential-Obstruction-Justice.docx,"In this paper we conclude that, based upon public reports, there is substantial evidence that President Trump may have obstructed justice. While a final determination must wait until Special Counsel Mueller has completed his investigation, that body of reported evidence has only grown deeper in quantity and quality in recent months. The apparent depth of the evidence is further underscored by reporting that White House Counsel Don McGahn was extensively cooperating with the special counsel, which could provide otherwise unavailable details of the president's exact state of mind and actions during critical moments.The obstruction case against President Trump includes the entire pattern of conduct detailed in Section I. Although President Trump’s firing of Director Comey is incriminating in its own right, the strength of the case against the president lies in the pattern of obstructive conduct in which he has potentially engaged. Far from engaging in acts that may constitute only a technical violation of the statutes that in ordinary circumstances might not be prosecuted, President Trump appears to have been engaged in an ongoing campaign of obstructive conduct since taking office.



We begin our analysis of those facts in Section II under the law of obstruction of justice, which is, in essence, interference with the rule of law. Congress has created a number of offenses to capture the broad range of conduct that constitutes such interference. President Trump faces the possibility of criminal liability for obstructing justice under three different theories.



Obstruction of a Proceeding. President Trump’s apparent attempts to influence, impede or obstruct congressional and grand jury proceedings represent possible violations of 18 U.S.C. §§ 1503, 1505, and 1512(c);



Witness Intimidation. President Trump’s misleading conduct or attempts to threaten, intimidate, and corruptly persuade witnesses may also constitute violations of Section 1512(b); and



Conspiracy. President Trump’s potential coordination with other individuals to perpetrate this obstruction of justice could be a criminal conspiracy in violation of 18 U.S.C. § 371.",0
51,51,NATO_US-European Relations.docx,"Nato at 70: Europe fears tensions will outlast Trump As the military alliance celebrates its anniversary, America’s commitment is being questioned

Michael Peel in Brussels and Aime Williams in Washington April 2, 2019 

When Nato celebrated its 50th anniversary at a 1999 summit in Washington, President Bill Clinton sought to assure America’s allies that the end of the cold war would not reduce its commitment to the region. Citing Theodore Roosevelt, he said there was no doubt that the US would continue to play a “great part in the world . . . The only question is whether we will play it well or ill”.

At the time, European leaders could afford to smile at the reference. But as Nato prepares to celebrate its 70th anniversary in Washington this week, the ambivalence of Mr Clinton’s remark seems charged. 

The big question for the European countries that dominate Nato numerically — if not militarily — is whether what one analyst dubs the “transatlantic distancing” will reverse after Mr Trump leaves office, or widen further. The president has flayed allies over military spending and pan-EU defence projects. He has also pulled the US out of an atomic weapons control treaty with Russia and a nuclear accord with Iran, actions many Europeans see as having a potential direct impact on security. Some in Europe already view Mr Trump’s approach to the relationship as part of a lasting change in the way Washington views the world. European leaders see a great power competition amid the growing US preoccupation with China and a belief that the US military should deploy more sparingly and Europe should take on more responsibility, albeit on Washington’s terms.

For some Europeans, the present difficulties mark a belated awakening to strategic realities that have been evident since the end of the cold war. Many of the criticisms of the transatlantic relationship articulated by Mr Trump are not new. US presidents from both parties have long called for Europe to spend more on their militaries — and many Europeans acknowledge the need to do so, given that only six countries other than the US hit the 2 per cent of GDP target last year.

European military spending had already started to rise, in part because of US pressure and also due to the shock of Russia’s 2014 annexation of Crimea. The US has long been suspicious of EU plans to encourage greater military co-operation. Although the US has called on Europe to spend more on defence, it resents the idea that countries might develop their armed forces outside Nato and become too independent. Months before the alliance’s 50th anniversary in 1999, Madeleine Albright, drew her so called “three Ds” -- “no diminution of Nato, no discrimination and no duplication”.

Where Mr Trump has gone much further than his predecessors is in his doubts that European security is a prize worth paying for. Rather than the sort of rupture that Mr Trump occasionally flirts with, analysts say the bigger risk to the alliance is a slow decay in the face of uncertainty about Washington’s true commitment. 

The current tension is “permanent because it’s structural”, says Claudia Major, a defence analyst at the German Institute for International and Security Affairs. “Trump is particularly brutal — but many of the ideas we in Europe find problematic have long been there.”







https://www.ft.com/content/9933782a-5465-11e9-91f9-b6515a54c5b1",0
37,37,Memo-Muller-Obstruction.docx,"It is inconceivable to me that the Department could accept Mueller's interpretation of § 1512(c)(2). It is untenable as a matter of law and cannot provide a legitimate basis for interrogating the President. I know you will agree that, if a DOI investigation is going to take down a democratically-elected President, it is imperative to the health of our system and to our national cohesion that any claim of wrongdoing is solidly based on evidence of a real crime — not a debatable one. It is time to travel well-worn paths; not to veer into novel, unsettled or contested areas of the law; and not to indulge the fancies by overly-zealous prosecutors.



As elaborated on below, Mueller's theory should be rejected for the following reasons:



First, the sweeping interpretation being proposed for § 1512's residual clause is contrary to the statute's plain meaning and would directly contravene the Department's longstanding and consistent position that generally-worded statutes like § 1512 cannot be applied to the President's exercise of his constitutional powers in the absence of a ""clear statement"" in the statute that such an application was intended.



Second, Mueller's premise that, whenever an investigation touches on the President's own conduct, it is inherently ""corrupt"" under § 1512 for the President to influence that matter is insupportable. In granting plenary law enforcement powers to the President, the Constitution places no such limit on the President's supervisory authority. Moreover, such a limitation cannot be reconciled with the Department's longstanding position that the ""conflict of interest"" laws do not, and cannot, apply to the President, since to apply them would impermissibly ""disempower"" the President from supervising a class of cases that the Constitution grants him the authority to supervise.



Third, defining facially-lawful exercises of Executive discretion as potential crimes, based solely on subjective motive, would violate Article II of the Constitution by impermissibly burdening the exercise of core discretionary powers within the Executive branch.



Fourth, even if one were to indulge Mueller's obstruction theory, in the particular circumstances here, the President's motive in removing Carney and commenting on Flynn could not have been ""corrupt"" unless the President and his campaign were actually guilty of illegal collusion. Because the obstruction claim is entirely dependent on first finding collusion, Mueller should not be permitted to interrogate the President about obstruction until has enough evidence to establish collusion.",0
27,27,Manufacturing-Jobs.docx,"Manufacturing Surge, a Boon for Trump, May Be Fading

For President Trump’s first two years in office, an unexpected rebound in manufacturing jobs helped bolster his claims that he was restoring the United States’ battered industrial sector. Now, that surge may be nearing its end — in part because of his own trade policies.

American manufacturers have added nearly half a million jobs since Mr. Trump took office, including for the last 19 months in a row. That streak, the longest since the mid-1990s, could hit 20 when the government releases March hiring data on Friday.

But concerns are mounting about how long that strength can continue. Employment growth for the sector in February, at 4,000 jobs, was the weakest in more than a year, and data from the payroll processing firm ADP on Wednesday showed the number of factory workers falling in March. Major automobile manufacturers have been cutting jobs; General Motors drew Mr. Trump’s ire last month when it idled a factory in Lordstown, Ohio, and eliminated 14,000 positions.

American manufacturers are being battered from all sides: by tariffs that are driving up their costs, by cooling growth in China and Europe that is hurting demand for their exports, and by the waning effects of the tax cuts and government spending increases that pumped up growth last year. Data from the Commerce Department on Tuesday showed that orders for capital goods, a key measure of business investment, fell in February and have trended down since last summer.

 “We should expect to see manufacturing growth slow quite significantly,” said Andrew Hunter, an economist at Capital Economics, a research firm.

American factories aren’t grinding to a halt. A closely watched survey from the Institute of Supply Management hit a three-year low in February but rebounded somewhat in March. Recent data from China suggests that the government’s efforts to stimulate the economy there are beginning to have an effect. And financial markets rallied Wednesday, and continued to rise Thursday, on hopes that the United States and China could be nearing a trade deal. Strong economic underpinnings — low unemployment, rising wages, high levels of consumer confidence — make an outright collapse in manufacturing unlikely.

At Gradall Industries, an Ohio manufacturer of excavators and other heavy equipment for the manufacturing industry, orders have been strong this year, according to Michael A. Haberman, the company’s president. But business in China is down sharply, tariffs are driving up costs, and Mr. Haberman has given up on the infrastructure spending package he hoped would spur demand for Gradall’s equipment.

“Obviously, Europe’s not doing that well, and China is clearly in a slowdown, so there has to be a concern,” he said.

Faced with that uncertainty, Mr. Haberman wavered before making a long-needed investment in a new robot welder this year. He eventually went ahead with that purchase, but he has postponed other investments — lasers for steel cutting, new machining equipment, additional robot welders.

“You need certainty if you’re going to spend that kind of money,” he said. “And I don’t think anybody feels very comfortable.”",0
