Term,Manual Count Doc 1,Manual Count Doc 2,TerMine Rank Doc 1,TerMine Score Doc 1,FiveFilters Occurrence Doc 1,FiveFilters Word Count Doc 1,TerMine Rank Doc 2,TerMine Score Doc 2,FiveFilters Occurrence Doc 2,FiveFilters Word Count Doc 2
Alaska,,,,,,,,,2.0,1.0
America,,,,,4.0,1.0,,,,
American,,,,,,,,,4.0,1.0
Atmosphere Research,,,,,,,,,1.0,2.0
Atmosphere Research Group,,,,,,,,,1.0,3.0
Bank,,,,,4.0,1.0,,,,
Boeing,,,,,6.0,1.0,,,1.0,1.0
Boeing shares,,,,,2.0,2.0,,,,
CEO Alexandre,,,,,1.0,2.0,,,,
California,,,,,,,,,1.0,1.0
FAA,,,,,6.0,1.0,,,1.0,1.0
Federal Aviation Administration,,,,,1.0,3.0,,,1.0,3.0
Henry Harteveldt,,,,,,,,,1.0,2.0
IATA,,,,,1.0,1.0,,,,
IATA Director General,,,,,1.0,3.0,,,,
July,,,,,1.0,1.0,,,,
Juniac,,,,,1.0,1.0,,,,
Labor Day,,,,,,,,,1.0,2.0
MCAS,,,,,2.0,1.0,,,,
MCAS malfunction,,,,,1.0,2.0,,,,
Max,9.0,14.0,,,,,,,8.0,1.0
Max flight cancellations,,,,,,,,,1.0,3.0
Monday,,,,,,,,,1.0,1.0
Montreal,,,,,1.0,1.0,,,,
OAG,,,,,,,,,1.0,1.0
October,,,,,1.0,1.0,,,,
Pressure,,,,,2.0,1.0,,,,
Reuters,,,,,1.0,1.0,,,,
SEC,,,,,1.0,1.0,,,,
Seattle,,,,,,,,,1.0,1.0
Sept,,,,,,,,,1.0,1.0
Southwest,0.0,6.0,,,,,,,5.0,1.0
Southwest accounts,,,,,,,,,1.0,2.0
Thursday,,,,,1.0,1.0,,,,
USA TODAY,,,,,,,,,1.0,2.0
United,,,,,,,,,2.0,1.0
Wall Street Journal,,,,,1.0,3.0,,,,
Wednesday,,,,,2.0,1.0,,,,
Wednesday afternoon,,,,,1.0,2.0,,,,
additional training requirement,,,8.0,1.584962,,,,,,
address,,,,,1.0,1.0,,,,
advance,,,,,,,,,1.0,1.0
