Rank,Term,Score
1,international aviation body,4.754888
2,software issue,2
2,international air transport association,2
2,software hiccup,2
2,software system,2
2,international regulator,2
2,u.s. regulator,2
8,wall street journal,1.584962
8,federal aviation administration,1.584962
8,max pilot training,1.584962
8,final software/hardware package,1.584962
8,complex software/hardware system,1.584962
8,iata director general,1.584962
8,max flight crew.,1.584962
8,additional training requirement,1.584962
16,trading thursday,1
16,max tragedy,1
16,top priority,1
16,certification flight,1
16,mutual recognition,1
16,wednesday afternoon,1
16,emergency process,1
16,safety regulators.,1
16,max airplane,1
16,best-case scenario,1
16,global standard,1
16,max aircraft,1
16,ceo alexandre,1
16,change boeing,1
30,statement thursday,0
