Term,Occurrence,Word count
plane,8,1
Max,8,1
airlines,7,1
Southwest,5,1
Atmosphere Research Group,1,3
Federal Aviation Administration,1,3
veteran travel analyst,1,3
Max flight cancellations,1,3
holiday season flights,1,3
American,4,1
fleet,3,1
Southwest accounts,1,2
time …,1,2
flyer reluctance,1,2
surveys show,1,2
airline executives,1,2
media storm,1,2
aircraft type,1,2
household word,1,2
plane types,1,2
mid-December Monday,1,2
Labor Day,1,2
Atmosphere Research,1,2
flights,3,1
schedule information,1,2
travelers shopping,1,2
USA TODAY,1,2
future flights,1,2
return,3,1
Henry Harteveldt,1,2
Alaska,2,1
United,2,1
people,2,1
kind,1,1
care,1,1
FAA,1,1
questions,1,1
face,1,1
crash,1,1
passengers,1,1
research,1,1
feature,1,1
numbers,1,1
end,1,1
degrees,1,1
board,1,1
survey,1,1
president,1,1
studies,1,1
cases,1,1
travelers,1,1
doesn,1,1
route,1,1
couple,1,1
tickets,1,1
fall,1,1
hundreds,1,1
Monday,1,1
Sept,1,1
example,1,1
week,1,1
date,1,1
operators,1,1
OAG,1,1
advance,1,1
half,1,1
order,1,1
Seattle,1,1
flight,1,1
California,1,1
schedules,1,1
subject,1,1
change,1,1
course,1,1
software,1,1
regulators,1,1
world,1,1
crashes,1,1
months,1,1
fraction,1,1
fleets,1,1
aircraft,1,1
Boeing,1,1
