,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc2_Booking-fall-travel.txt
according,0.04768459440719664,0.048293913195049346
according reuters,0.0335095168168023,0.0
according reuters america,0.0335095168168023,0.0
according street,0.0335095168168023,0.0
according street journal,0.0335095168168023,0.0
according survey,0.0,0.03393770496482317
according survey atmosphere,0.0,0.03393770496482317
according though,0.0,0.03393770496482317
according though airlines,0.0,0.03393770496482317
accounts,0.0,0.03393770496482317
accounts upcoming,0.0,0.03393770496482317
accounts upcoming flying,0.0,0.03393770496482317
actual,0.0,0.03393770496482317
actual numbers,0.0,0.03393770496482317
actual numbers tenth,0.0,0.03393770496482317
added,0.02384229720359832,0.024146956597524673
added aircraft,0.0,0.03393770496482317
added aircraft feature,0.0,0.03393770496482317
added pressure,0.0335095168168023,0.0
added pressure company,0.0335095168168023,0.0
additional,0.0670190336336046,0.0
additional months,0.0335095168168023,0.0
additional months boeing,0.0335095168168023,0.0
additional training,0.0335095168168023,0.0
additional training requirements,0.0335095168168023,0.0
address,0.0335095168168023,0.0
address malfunction,0.0335095168168023,0.0
administration,0.02384229720359832,0.024146956597524673
administration regulators,0.0,0.03393770496482317
administration regulators around,0.0,0.03393770496482317
administration wednesday,0.0335095168168023,0.0
administration wednesday found,0.0335095168168023,0.0
admit,0.0,0.03393770496482317
admit passengers,0.0,0.03393770496482317
admit passengers going,0.0,0.03393770496482317
advance,0.0,0.03393770496482317
advance total,0.0,0.03393770496482317
advance total southwest,0.0,0.03393770496482317
afternoon,0.0335095168168023,0.0
afternoon found,0.0335095168168023,0.0
afternoon found issue,0.0335095168168023,0.0
agency,0.0335095168168023,0.0
agency statement,0.0335095168168023,0.0
agency statement investors,0.0335095168168023,0.0
aircraft,0.07152689161079497,0.09658782639009869
aircraft feature,0.0,0.03393770496482317
aircraft feature online,0.0,0.03393770496482317
aircraft fleet,0.0,0.03393770496482317
aircraft fleet boeing,0.0,0.03393770496482317
aircraft international,0.0670190336336046,0.0
aircraft international aviation,0.0670190336336046,0.0
aircraft process,0.0335095168168023,0.0
aircraft process designed,0.0335095168168023,0.0
aircraft remains,0.0,0.03393770496482317
aircraft remains grounded,0.0,0.03393770496482317
aircraft southwest,0.0,0.03393770496482317
aircraft southwest operate,0.0,0.03393770496482317
airline,0.0,0.06787540992964634
airline executives,0.0,0.03393770496482317
airline executives admit,0.0,0.03393770496482317
airline giant,0.0,0.03393770496482317
airline giant pulled,0.0,0.03393770496482317
airlines,0.04768459440719664,0.16902869618267272
airlines already,0.0,0.03393770496482317
airlines already extended,0.0,0.03393770496482317
airlines around,0.0335095168168023,0.0
airlines around world,0.0335095168168023,0.0
airlines assign,0.0,0.03393770496482317
airlines assign plane,0.0,0.03393770496482317
airlines fleets,0.0,0.03393770496482317
airlines fleets southwest,0.0,0.03393770496482317
airlines operate,0.0,0.03393770496482317
airlines operate going,0.0,0.03393770496482317
airlines prepping,0.0,0.03393770496482317
airlines prepping planes,0.0,0.03393770496482317
airlines questions,0.0,0.03393770496482317
airlines questions whether,0.0,0.03393770496482317
airlines regulators,0.0335095168168023,0.0
airlines regulators companies,0.0335095168168023,0.0
airlines waiting,0.0,0.03393770496482317
airlines waiting return,0.0,0.03393770496482317
airplanes,0.0335095168168023,0.0
airplanes crashed,0.0335095168168023,0.0
airplanes crashed since,0.0335095168168023,0.0
alaska,0.0,0.06787540992964634
alaska airline,0.0,0.03393770496482317
alaska airline giant,0.0,0.03393770496482317
alaska plane,0.0,0.03393770496482317
alaska plane fleet,0.0,0.03393770496482317
alexandre,0.0335095168168023,0.0
alexandre juniac,0.0335095168168023,0.0
alexandre juniac statement,0.0335095168168023,0.0
already,0.0,0.03393770496482317
already extended,0.0,0.03393770496482317
already extended flight,0.0,0.03393770496482317
america,0.1340380672672092,0.0
america called,0.0335095168168023,0.0
america called announcement,0.0335095168168023,0.0
