"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"2003","Yankees","101","61","49","530","163","1462.0","6.89","2.31","0.89",".302","70.4 %","42.7 %","9.3 %","4.03","3.66","3.92","28.6"
"2002","Yankees","103","58","53","495","161","1452.0","7.04","2.50","0.89",".293","70.7 %","42.8 %","9.0 %","3.89","3.62","3.86","28.2"
"2011","Phillies","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5 %","46.5 %","8.3 %","3.02","3.24","3.41","28.1"
"2003","Dodgers","85","77","58","600","162","1457.2","7.96","3.25","0.78",".280","77.0 %","48.0 %","10.5 %","3.16","3.56","3.63","27.0"
"2013","Tigers","93","69","39","590","162","1462.2","8.79","2.84","0.79",".306","73.7 %","45.4 %","9.2 %","3.61","3.27","3.43","26.8"
"2002","Diamondbacks","98","64","40","584","162","1446.2","8.11","2.62","1.06",".289","72.7 %","43.6 %","11.5 %","3.93","3.67","3.56","26.4"
"2003","Diamondbacks","84","78","42","614","162","1455.0","7.99","3.25","0.93",".293","73.1 %","47.3 %","11.4 %","3.84","3.83","3.81","24.6"
"2011","White Sox","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3 %","44.2 %","9.4 %","4.10","3.66","3.69","24.5"
"2010","White Sox","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5 %","44.9 %","8.4 %","4.09","3.80","3.94","24.2"
"2003","Cubs","88","74","36","582","162","1456.1","8.68","3.81","0.88",".291","73.1 %","47.1 %","11.6 %","3.83","3.80","3.75","24.1"
"2009","Braves","86","76","38","650","162","1462.2","7.58","3.26","0.73",".299","73.8 %","46.4 %","8.1 %","3.57","3.66","3.91","23.7"
"2008","White Sox","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0 %","45.5 %","10.0 %","4.11","4.00","4.01","23.7"
"2012","Tigers","88","74","40","582","162","1430.2","8.29","2.76","0.95",".307","72.7 %","43.4 %","10.5 %","3.77","3.63","3.74","23.7"
"2014","Nationals","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9 %","44.8 %","7.5 %","3.03","3.18","3.43","23.6"
"2008","Diamondbacks","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9 %","45.3 %","9.9 %","3.99","3.84","3.87","23.6"
"2012","Rays","90","72","50","634","162","1459.2","8.53","2.89","0.86",".277","75.5 %","47.9 %","10.7 %","3.19","3.51","3.59","23.5"
"2008","Blue Jays","86","76","44","583","162","1446.2","7.37","2.91","0.83",".284","74.8 %","46.6 %","9.3 %","3.49","3.81","3.92","23.3"
"2008","Dodgers","84","78","35","623","162","1447.1","7.49","2.98","0.76",".295","72.6 %","49.6 %","9.3 %","3.68","3.67","3.77","23.2"
"2002","Athletics","103","59","48","570","162","1452.0","6.33","2.94","0.84",".281","73.3 %","46.6 %","9.0 %","3.69","3.87","4.09","23.1"
"2005","White Sox","99","63","54","574","162","1475.2","6.34","2.80","1.02",".275","75.4 %","43.6 %","10.5 %","3.61","4.12","4.14","23.0"
"2007","Padres","89","74","45","648","163","1484.2","6.89","2.87","0.72",".287","71.7 %","45.8 %","7.4 %","3.72","3.81","4.13","22.7"
"2002","Red Sox","93","69","51","500","162","1446.0","7.20","2.68","0.91",".282","72.1 %","45.2 %","9.7 %","3.75","3.74","3.87","22.6"
"2005","Astros","89","73","45","597","163","1443.0","7.26","2.74","0.97",".281","75.8 %","46.4 %","11.3 %","3.52","3.84","3.75","22.6"
"2003","White Sox","86","76","36","523","162","1431.0","6.64","3.26","1.02",".281","71.4 %","42.1 %","10.5 %","4.17","4.22","4.32","22.5"
"2004","Twins","92","70","48","597","162","1476.0","6.85","2.63","1.02",".302","72.9 %","44.6 %","10.2 %","4.04","3.98","4.09","22.4"
"2003","Athletics","96","66","48","526","162","1441.2","6.36","3.12","0.87",".274","73.6 %","46.6 %","9.8 %","3.63","4.03","4.21","22.4"
"2004","Cubs","89","73","42","622","162","1465.1","8.27","3.35","1.04",".289","75.5 %","44.8 %","11.7 %","3.83","3.98","3.89","22.3"
"2003","Red Sox","95","67","36","599","162","1464.2","7.01","3.00","0.94",".300","67.9 %","44.9 %","10.4 %","4.49","3.99","4.09","21.5"
"2005","Angels","95","67","54","541","162","1464.1","6.92","2.72","0.97",".288","75.0 %","41.2 %","9.2 %","3.68","3.89","4.11","21.4"
"2003","Marlins","91","71","36","557","162","1445.1","7.05","3.30","0.80",".297","71.6 %","42.1 %","8.3 %","4.04","3.80","4.21","21.3"
"2006","Angels","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1 %","42.3 %","9.2 %","4.04","4.03","4.28","21.3"
"2009","Rockies","92","70","45","646","162","1438.1","7.22","3.30","0.88",".299","71.3 %","47.3 %","9.9 %","4.24","3.96","3.99","21.2"
"2005","Marlins","83","79","42","611","162","1442.1","7.02","3.51","0.72",".308","70.4 %","45.2 %","8.2 %","4.19","3.81","4.13","21.2"
"2011","Yankees","97","65","47","627","162","1458.1","7.54","3.13","0.94",".297","75.0 %","44.2 %","9.9 %","3.73","3.87","3.84","21.0"
"2011","Brewers","96","66","47","596","162","1441.2","7.85","2.75","0.92",".288","73.2 %","44.7 %","9.7 %","3.64","3.59","3.58","21.0"
"2012","Reds","97","65","56","587","162","1453.0","7.73","2.64","0.94",".288","76.9 %","45.9 %","10.7 %","3.34","3.72","3.80","20.9"
"2010","Rockies","83","79","35","675","162","1442.0","7.70","3.28","0.87",".302","70.8 %","46.5 %","9.6 %","4.14","3.83","3.80","20.9"
"2009","Dodgers","95","67","44","688","162","1473.1","7.77","3.57","0.78",".275","74.9 %","43.7 %","8.1 %","3.41","3.80","4.07","20.9"
"2014","Indians","85","77","40","735","162","1468.1","8.89","2.84","0.83",".309","73.2 %","46.7 %","10.0 %","3.57","3.42","3.36","20.8"
"2012","Rangers","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5 %","43.9 %","11.6 %","4.02","3.90","3.86","20.7"
"2004","Astros","92","70","47","655","162","1443.0","8.00","3.27","1.09",".299","74.3 %","44.2 %","11.9 %","4.05","4.07","3.95","20.7"
"2004","Red Sox","98","64","36","599","162","1451.1","7.02","2.77","0.99",".289","68.8 %","45.4 %","9.9 %","4.19","4.03","4.17","20.6"
"2006","Twins","96","66","40","583","162","1439.1","7.28","2.23","1.14",".302","73.7 %","43.7 %","11.3 %","3.95","3.99","3.93","20.6"
"2011","Giants","86","76","52","642","162","1468.0","8.07","3.43","0.59",".283","74.4 %","46.4 %","6.9 %","3.21","3.33","3.66","20.5"
"2007","Indians","96","66","49","557","162","1462.2","6.44","2.52","0.90",".302","71.9 %","45.3 %","8.7 %","4.05","4.06","4.21","20.5"
"2009","White Sox","79","83","36","577","162","1439.2","7.00","3.17","1.06",".294","71.7 %","44.3 %","10.3 %","4.16","4.21","4.19","20.5"
"2009","Giants","88","74","41","619","162","1446.0","8.10","3.63","0.87",".279","75.6 %","43.0 %","9.1 %","3.55","3.85","3.99","20.2"
"2013","Dodgers","92","70","46","666","162","1450.1","8.02","2.85","0.79",".291","75.5 %","47.1 %","9.9 %","3.25","3.45","3.52","20.1"
"2012","Yankees","95","67","51","647","162","1445.1","8.21","2.68","1.18",".296","75.1 %","44.9 %","13.0 %","3.85","3.98","3.75","20.1"
"2013","Rangers","91","72","46","638","163","1463.1","8.05","3.06","0.97",".293","75.5 %","42.8 %","10.7 %","3.63","3.77","3.75","20.1"
"2007","Angels","94","68","43","558","162","1435.0","7.25","2.99","0.95",".307","71.1 %","42.2 %","8.6 %","4.23","4.10","4.26","20.0"
"2007","Dodgers","82","80","43","645","162","1450.0","7.35","3.22","0.91",".301","70.9 %","45.5 %","9.6 %","4.20","4.07","4.07","20.0"
"2012","Phillies","81","81","42","602","162","1451.1","8.59","2.54","1.10",".298","72.9 %","43.5 %","12.1 %","3.86","3.72","3.61","19.9"
"2008","Cubs","97","64","44","639","161","1450.2","7.84","3.40","0.99",".281","74.0 %","41.6 %","9.8 %","3.87","4.09","4.14","19.9"
"2008","Yankees","89","73","42","637","162","1441.2","7.12","3.05","0.89",".307","71.0 %","45.7 %","9.3 %","4.28","3.96","4.08","19.9"
"2014","Yankees","84","78","48","637","162","1453.0","8.49","2.47","1.02",".298","73.3 %","43.7 %","11.3 %","3.75","3.67","3.43","19.9"
"2002","Braves","101","59","57","630","161","1467.1","6.49","3.40","0.75",".271","77.2 %","45.7 %","8.5 %","3.13","3.83","4.11","19.8"
"2006","Dodgers","88","74","40","616","162","1460.1","6.58","3.03","0.94",".302","70.8 %","47.8 %","9.7 %","4.23","4.13","4.29","19.7"
"2013","Cardinals","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5 %","48.5 %","8.5 %","3.43","3.39","3.63","19.6"
"2004","Angels","92","70","50","505","162","1454.1","7.20","3.11","1.05",".299","72.2 %","41.9 %","9.7 %","4.28","4.09","4.29","19.6"
"2009","Cardinals","91","71","43","643","162","1440.2","6.55","2.87","0.77",".292","73.2 %","49.8 %","8.7 %","3.66","3.82","4.00","19.6"
