FullName,Team
Los Angeles Angels of Anaheim,Angels
Arizona Diamondbacks,Diamondbacks
Atlanta Braves,Braves
Baltimore Orioles,Orioles
Boston Red Sox,Red Sox
Chicago Cubs,Cubs
Chicago White Sox,White Sox
Cincinnati Reds,Reds
Cleveland Indians,Indians
Colorado Rockies,Rockies
Detroit Tigers,Tigers
Florida Marlins,Marlins
Houston Astros,Astros
Kansas City Royals,Royals
Los Angeles Dodgers,Dodgers
Milwaukee Brewers,Brewers
Minnesota Twins,Twins
New York Mets,Mets
New York Yankees,Yankees
Oakland Athletics,Athletics
Philadelphia Phillies,Phillies
Pittsburgh Pirates,Pirates
San Diego Padres,Padres
Seattle Mariners,Mariners
San Francisco Giants,Giants
St. Louis Cardinals,Cardinals
Tampa Bay Rays,Rays
Texas Rangers,Rangers
Toronto Blue Jays,Blue Jays
Washington Nationals,Nationals
Miami Marlins,Marlins
Anaheim Angels,Angels
Tampa Bay Devil Rays,Devil Rays
Montreal Expos,Expos
