Team,Record,Ovr_Pick1_Prob,BR_Top3_Prob
Boston Celtics (via Brooklyn Nets),20-62,0.250,0.643
Phoenix Suns,24-58,0.199,0.558
Los Angeles Lakers,26-56,0.156,0.469
Philadelphia 76ers,28-54,0.119,0.378
Orlando Magic,29-53,0.088,0.291
Minnesota Timberwolves,31-51,0.053,0.183
New York Knicks,31-51,0.053,0.183
Sacramento Kings,32-50,0.028,0.099
Dallas Mavericks,33-49,0.017,0.061
New Orleans Pelicans,34-48,0.011,0.040
Charlotte Hornets,36-46,0.008,0.029
Detroit Pistons,37-45,0.007,0.025
Denver Nuggets,40-42,0.006,0.022
Miami Heat,41-41,0.005,0.018
